Deadline,Scholarship Name,Award amount,Education Level,Link,Open date,Eligibility
July 31,Jet Future Business Leaders Scholarship,"$1,000","High school, Undergraduate, Graduate",https://jetsurety.com/scholarship,,"
Open to all United States citizens/residents"
August 1,Military Dependent Scholarship,$500,"High school, Undergraduate",https://www.bhwlawfirm.com/military-dependent-scholarship/?fbclid=IwAR1DeoJtcZLG--8SNrN2dCPcqpDQuRCvY6-alWmBdT_tRZ0vnWSS4Ue9Vj4,,Military dependents that are high school seniors or any year in college are eligible to apply for this scholarship.
August 1,Michael Moody Scholarship,"$1,500","High school, Undergraduate, Graduate",http://www.michaelmoodyfitness.com/student-scholarship-chicago,August 1,"High school senior, undergraduate, or graduate student 
U.S. citizen or legal resident in the 50 states, Washington, D.C., or Puerto Rico
Pursuing a career in the health and fitness related fields"
August 1,Live Deliberately Essay Contest,Up to $500,"K-8, High school",https://www.walden.org/education/essay-contest/,,Contest is open to youth ages 14-18 around the globe
August 1,Future Educator Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.mrsprindables.com/news/education-scholarship/,,Incoming or current college students majoring in education
August 5,Community Impact Scholarship,"$2,500",Undergraduate,https://www.dfwinjurylawyer.com/scholarship,,"Have a cumulative grade point average of 3.5 or higher
Be an undergraduate student at an accredited college or university
Be a citizen or permanent resident of the United States
Be at least 18 years of age when you submit your application."
August 5,Working Student Scholarship,"$1,000","High school, Undergraduate",https://www.mallonsnyderlaw.com/scholarship,,"You are partially or fully paying for your own college education
You are enrolled or planning to enroll in an undergraduate program within the United States for the Fall 2026 semester
You are at least 17 years of age
You are a resident or permanent citizen of the United States"
August 10,The Blossom Law Caregiver Scholarship,"$1,000","Undergraduate, Graduate",https://www.blossomlaw.com/scholarship,,"You are at least 18 years of age
You are enrolled as an undergraduate or graduate student at an accredited college or university
You are a citizen or permanent resident of the United States
You earned a 3.0 grade point average or higher in your most recently completed semester"
August 10,Fawell & Fawell Out-of-State Student Scholarship,"$1,000",Undergraduate,https://www.fawelllaw.com/scholarship,,"Be enrolled in or have been accepted to a college or university that is located in a state where they did not attend high school or a state other than where their parents currently live.
Must be in their freshman, sophomore, or junior year of an undergraduate degree.
Must be pursuing an education related to law.
Have a GPA of 3.5 or higher as of the most recent academic semester they have completed.
Be above the age of 17.
Be a U.S. citizen or a lawful permanent resident."
August 15,Race Entry Student Scholarship,$500,"High school, Undergraduate, Graduate",https://www.raceentry.com/race-to-inspire-scholarship,January 1,Students of all disciplines who pursue self-improvement and enhanced health through race preparation and participation must be able to verify enrollment for college at an accredited university inside the USA
August 15,Calvin L. Carrithers Aviation Scholarship,"$1,000","Undergraduate, Graduate",https://www.globalair.com/scholarships/?kclt=573c3b3257144b4b898d431705a06a19,March 1,"Must be a U.S. citizen currently enrolled full-time in an accredited university aviation program — Commercial Aviation, Professional Pilot, Aviation Management, or similar."
August 15,Health & Wellness Scholarship,$500,"High school, Undergraduate, Graduate",https://supplementrelief.com/scholarship/?fbclid=IwAR36E9ddQPrumcuQcm9i0gI2bx--xJXBCeJIsTqUBjR5t6ttYMZ0fR_ErqY,,Age of 18 and enrolled in a full-time graduate or undergrad program in the United States or Canada at an accredited learning institution
August 15,Sharma Law Associates Scholarship,"$1,000","Undergraduate, Graduate",https://www.sharmalawassociates.com/scholarship-application,,"Be a U.S. citizen or have legal authorization to work in the United States.
Provide proof of acceptance into an accredited undergraduate program in pre-law or a related field, or proof of acceptance and enrollment in an accredited U.S. law school for the Fall 2026 semester.
Maintain a minimum cumulative GPA of 3.0 at the undergraduate level."
August 20,Innovation in Education Scholarship,$500,"High school, Undergraduate, Graduate",https://www.latutors123.com/scholarships/innovation-in-education/,,"Must currently be enrolled as a high school, college/university, or graduate student.
Must have a cumulative GPA of at least 3.0 (or the equivalent)."
August 21,Probo Medical Scholarship,$500,"High school, Undergraduate",https://www.probomedical.com/probo-medical-scholarship/,,"Must be enrolled at an accredited high school, college or university in the United States
Must be either in your final year of high school or enrolled at the undergraduate level in “good standing”
Must be age 16 or older
Must be attending a U.S.-based institution
Must maintain a cumulative grade point average (GPA) of 3.0 or higher (or equivalent)"
August 21,Injury Scholarship,"$1,000","High school, Undergraduate",https://harrispersonalinjury.com/injury-scholarship/,,"Applicant must be currently enrolled in an accredited high school, college, or university in the US.
Applicant must be enrolled as either an undergraduate or in their final year of high school.
Applicant must be at least 17 years of age."
August 31,The Healing Journey Scholarship,"$2,500","Undergraduate, Graduate",https://www.injuredinflorida.com/scholarship/,,"Undergraduate or graduate student who’s received a life-changing medical diagnosis
Applicant must be at least 18 years old at the age of enrollment
Applicant must have residency in the United States
"
August 31,Gravitate Scholarship,"$2,500","High school, Undergraduate, Graduate",https://siniardlaw.com/2026-gravitate-scholarship/,,"The Gravitate Scholarship is open to students currently enrolled in a vocational program or attending a two- to four-year accredited college or university. Eligible applicants include high school seniors, vocational students, undergraduate students, and graduate students who are legal residents of the United States and live in one of the 50 states or the District of Columbia.
Applicants must have a cumulative GPA of 3.0 or above and be in good academic standing at their current educational institution."
August 31,The Devadoss Law Firm Civil Rights Scholarship,"$1,000","Undergraduate, Graduate",https://www.fedemploymentlaw.com/the-devadoss-law-firm-civil-rights-scholarship/,,"Must be a current or aspiring law student
Must be a citizen or permanent resident of the United States
Must be enrolled at an accredited college or university within the United States as an undergraduate or graduate student
Must be at least 17 years of age"
August 31,Driver Education Initiative Award – Annual Scholarship Opportunity,$500,"High school, Undergraduate, Graduate",https://www.dmvedu.org/scholarship/,May 1,"Applicants must be currently enrolled in either High School, University or College
Open to all students in U.S., Canada, and abroad."
August 31,The Achieve Today Scholarship Fund,"$1,000","Undergraduate, Graduate",https://www.achievetoday.com/scholarships,,Applicants must be 18 years of age or older and a current student of an accredited US university or college
August 31,RealtyHop Scholarship,"$2,000","High school, Undergraduate",https://www.realtyhop.com/resources/scholarship,,"Must be a current student in an eligible undergraduate program or a graduating high school senior in the U.S., working towards a bachelor’s degree or associate’s degree"
August 31,Summit Physical Therapy Scholarship,$500,"High school, Undergraduate, Graduate",https://physicaltherapyfairbanks.com/physical_therapy_fairbanks.php,,"Be attending college or university on a full-time basis
Have achieved a GPA of 3.0 or greater during their last academic year.
Be a U.S. or Canadian resident."
August 31,Florida Rentals Annual Dream Vacation Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.floridarentals.com/dream-vacation-scholarship/,September 1,Full-time students over the age of 18 currently accepted to or enrolled at a college or university.
August 31,MoolahSPOT Scholarship,"$1,000","High school, Undergraduate, Graduate",http://www.moolahspot.com/scholarship/index.cfm,,"Any student at least 16 years or older who plans to attend, or is currently attending, college or graduate school
Students may be of any nationality and reside in any country
Students may study any major or plan to enter any career field at any accredited college or graduate school
Although applicants can be from any country, all applications must be completed in English."
August 31,All Star Verified Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.verifiedscholarships.com/scholarship-program/,May 1,"This scholarship is open to high school, college, graduate, or adult students and parents of high school and college students."
August 31,RentHop's College and University Scholarship Program,"$1,000","High school, Undergraduate",https://www.renthop.com/resources/college-scholarship,,"Must be a current student in an eligible undergraduate program or a graduating high school senior, working towards a bachelors degree or associates degree"
August 31,J&Y “Books for Good” Scholarship,$300,"High school, Undergraduate, Graduate",https://jnylaw.com/scholarship/,,"Students at accredited colleges, trade schools, universities, and graduate schools in the United States "
September 1,The Clarence & Barbara Taliaferro Scholarship Program,"$1,000",High school,https://www.darryltaliaferro.org/the-clarence-barbara-taliaferro-scholarship-program/,,"Applicants must have a cumulative grade point average of 2.5 or higher on a 4.0 scale
Be a high school senior who has applied to and enrolled in a full time course of study at an accredited four-year college or university
Be a college freshman, sophomore or junior currently enrolled in a full time course of study at an accredited four-year college or university
Be a community college student who has enrolled in a full time course of study
Must demonstrate financial need according to the Free Application for Federal Student Aid Form (FASFA) and the Student Aid Report (SAR) form."
September 1,NAJA Scholarship,Varies,Graduate,https://www.najanet.org/naja-scholarship,September 1,"Working or planning to work directly with children.
Pursuing graduate level studies for one (1) year in fields which address the special needs of children and youth; this includes, but is not limited to, Counseling, Psychology, Mental Health, Special Education, Speech Pathology, Exceptional Children, Remedial Skills Development, Hearing Impaired, and Gifted & Talented. Scholarships are not awarded for graduate work in administration or general education.
A U.S. citizen and a permanent resident of a state with a Junior Auxiliary Chapter: Alabama, Arkansas, Florida, Louisiana, Mississippi, Missouri, and Tennessee.
Planning to attend a U.S. college or university for full-time or part-time study."
September 1,Netfloor USA Access Flooring College Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.netfloorusa.com/scholarship/netfloor-usa-access-flooring-college-scholarship,,"Any legal U.S. resident at least seventeen (17) years old who meets one of the following criteria:
Currently attending attending high school and will be attending an accredited university or college in the next academic year
Currently attending an accredited university or college (undergraduate and graduate students are both eligible)
Must have a cumulative GPA of at least 3.0 (or equivalent)"
September 1,The Andrew S. Mathers Scholarship,"$1,000","High school, Undergraduate",https://andrewmatherslaw.com/andrew-s-mathers-scholarship/,,High school students and college students 
September 7,Rising Stars Scholarship,"$1,000",Undergraduate,https://www.knoxvillecriminaldefenselaw.com/scholarship,,"Have been attending an undergraduate program for at least one year
Have improved their GPA by at least one point at any time while attending college
Are a citizen or lawful permanent resident of the United States
Are at least 17 years old"
September 9,Supporting Prisoners’ Families Scholarship,"$1,000","Undergraduate, Graduate",https://www.pullanyoung.com/scholarship,,"Applicants must have a parent or family member who has been incarcerated
Applicants must be enrolled in or accepted into an accredited college or university within the United States
Applicants must be pursuing an undergraduate or graduate degree
Applicants must be 18 years of age or older at the time of application"
September 10,Love your Career Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.jonestshirts.com/pages/scholarship,,Any student who will be enrolled in a college or University. This scholarship is limited to students attending school in the 50 U.S. states.
September 14,Goostree Law Group Bright Futures Scholarship,"$1,000","Undergraduate, Graduate",https://www.familydivorcelaw.com/scholarship,,"You have a need for financial assistance, with an annual household income of less than $75,000
You achieved a 3.0 GPA or higher in your most recently completed academic semester
You are a citizen or permanent resident of the United States.
You are enrolled at an accredited college or university"
September 15,Headway's Book Lovers Scholarship,"$1,500","High school, Undergraduate, Graduate",https://makeheadway.com/scholarship/,April 15,"Citizens of the United States;
At least 16 years old;
Final year of high school, secondary school, (upper) secondary school graduates, current college/university undergraduates, or graduate students;
Have a high school cumulative GPA of 3.0 or higher;
Enrolled in full-time undergraduate or graduate study at an accredited college, university, or vocational-technical school within the United States for the entire academic year in which the Scholarship is awarded."
September 15,The Gates Scholarship,Full cost of attendence,High school,https://www.thegatesscholarship.org/scholarship/,July 15,"A high school senior planning to enroll full-time, in a four-year degree program, at a US accredited, not-for-profit, private or public college or university
Pell-eligible
A US citizen or permanent resident
In good academic standing with a minimum cumulative weighted GPA of 3.3 on a 4.0 scale (or equivalent)"
September 15,May Firm Injury Scholarship,"$1,000","Undergraduate, Graduate",https://mayfirm.com/scholarship/,,Open to students at any accredited community college or university across the country
September 15,Go Skills Scholarship,"$2,000","K-8, High school, Undergraduate, Graduate",https://www.goskills.com/scholarship,,Young women with a business idea or a newly launched business
September 20,Innovation in Education Scholarship,$500,"High school, Undergraduate, Graduate",https://www.latutors123.com/scholarships/innovation-in-education/,,"Must currently be enrolled as a high school, college/university, or graduate student.
Must have a cumulative GPA of at least 3.0 (or the equivalent)."
September 22,NSHSS Foundation Business & Public Policy Scholarship,"$1,000",High school,https://www.nshss.org/scholarships/s/nshss-foundation-business-public-policy-scholarship-2025/,May 6,"High school students of all grade levels with a minimum GPA of 3.5 who are pursuing a degree in, or closely related to, one of the following disciplines:

Business/Business Administration
Finance/Economics
Public Policy"
September 28,First Generation College Student Scholarship,"$2,500","Undergraduate, Graduate",https://www.kadzailawgroup.com/scholarship,,"You must be a first-generation college student
You must be enrolled in an undergraduate or graduate program at an accredited college or university within the United States
You must be at least 17 years of age
You must be a permanent resident or citizen of the United States"
September 30,Coca-Cola Scholars Program scholarship,"$20,000",High school,https://www.coca-colascholarsfoundation.org/apply/,August 1,"Currently enrolled high school/home-schooled students attending school in one of the 50 U.S. states, the District of Columbia, Puerto Rico, or select DoD schools who will graduate high school 
U.S. Citizens, U.S. Nationals, U.S. Permanent Residents, Refugees, Asylees, Cuban-Haitian Entrants, or Humanitarian Parolees - based on the guidelines utilized by U.S. Department of Education for Federal Financial Aid eligibility
Expecting to receive high school diploma during current academic year
Planning to pursue a degree at an accredited U.S. post-secondary institution
Able to verify a minimum overall B/3.0 GPA in high school coursework"
September 30,Don't Text and Drive Scholarship,"$1,000","High school, Undergraduate, Graduate",http://www.digitalresponsibility.org/dont-text-and-drive-scholarship/?kclt=4a66639e2dc94b3e8ef907291a535eb8,,"High school freshman, sophomore, junior, or senior or a current or entering college or graduate school student of any level. 
Home schooled students are also eligible. 
There is no age limit. 
You must also be a U.S. citizen or legal resident"
September 30,Ron Hubbard Writers of The Future Contest,"$500, $750, $1,000","High school, Undergraduate, Graduate",https://www.writersofthefuture.com/enter-writer-contest/,April 1,New writers of science fiction and fantasy
September 30,Ron Hubbard Illustrators of The Future Contest,$500,"High school, Undergraduate, Graduate",https://writersofthefuture.com/enter-the-illustrator-contest/,April 1,New science fiction and fantasy artists
September 30,National High School Poetry Contest,$100-$500,High school,https://www.highschoolpoetrycontest.com/to-enter.html,,All U.S. high school students are eligible to enter this contest. 
September 30,The Home Depot Foundation Path to Pro Scholarship,"$2,500","High school, Undergraduate, Graduate",https://webportalapp.com/sp/login/skillpointefoundation_homedepot-pathtopro,,"Be a high school senior, high school graduate or have a GED equivalent.
Plan to enroll, or be enrolled within 1 year, in an approved trade-related program at an accredited two-year school or institution (i.e. technical/vocational school, community college or training center) in the United States.
Not be an employee or dependent of an employee of the The Home Depot. Employees of The Home Depot and their dependents are eligible to apply for a scholarship from The Homer Fund. 
Programs/Career Paths: Carpentry, Construction Management, Electrical, HVAC, Plumbing."
September 30,Regions Riding Forward Scholarship Contest,"$8,000","High school, Undergraduate",https://www.regions.com/about-regions/inclusion-belonging-impact/supporting-communities/essay-contest-scholarship,July 1,"Be a legal U.S. resident of one of the Eligible States: Alabama, Arkansas, Florida, Georgia, Iowa, Illinois, Indiana, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, South Carolina, Tennessee and Texas
Be age 16 or older.
Have at least one (1) year (or at least 18 semester hours) remaining before your undergraduate college graduation.
If you are not yet in college, begin your freshman year of college no later than the start of the 2027 – 2028 college academic school year.
As of your most recent school enrollment period, have a cumulative grade point average of at least 2.0 in school (and if no GPA is provided at school, be in “good standing” or the equivalent thereof in school)."
September 30,College JumpStart Pay It Forward Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.jumpstart-scholarship.net/application-pay-it-forward-scholarship,,"Current student (high school 10th-12th or college) or planning to enter college within the next 12 months
U.S. citizen or legal resident"
September 30,Building Bridges Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.parent-volunteer.org/building-bridges-scholarship,,"Be currently enrolled or plan to be enrolled part-time or full-time in an accredited U.S. college or university. Vocational/technical, two-year, four-year, or graduate institutions are eligible. 
Be a high school junior or senior, undergraduate student, or graduate student. 
Have a grade point average of 2.5 or above on a 4.0 system."
September 30,Return 2 College Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.return2college.com/awardprogram.cfm,,Applicants must be U.S. citizens or legal residents who are starting a program of higher education (college or graduate school) within the next 12 months or are currently full- or part-time students. Applicants must be age 17 years or older. There is no maximum age limit.
September 30,J&Y “Books for Good” Scholarship,$300,"High school, Undergraduate, Graduate",https://jnylaw.com/scholarship/,,"Students at accredited colleges, trade schools, universities, and graduate schools in the United States "
September 30,The Bank Family Education Fund Scholarship,"$2,000","Undergraduate, Graduate",https://fishndans.com/banks-family-fund/,,"The scholarship is open to legal residents of the United States who are at least 18 years of age interested in outdoors, wildlife, and conservation.
The applicant must be enrolled in an accredited college, undergraduate or graduate degree program in the United States. The scholarship is offered to both part-time and full-time students.
Candidates must be in good academic standing with a minimum cumulative GPA of 3.0 or above."
October 1,JMJ Phillip Group College Scholarship,"$1,000","High school, Undergraduate, Graduate",https://jmjphillip.com/jmj-phillip-stem-scholarship/,,"High school students who have been accepted to college and students who are currently enrolled in a college or university are eligible to apply for the JMJ Phillip Group college scholarship program. 
Students must be currently enrolled in a U.S.-based high school or college. Students graduating from high school must plan to attend college during the fall semester in the same year as the application.
Eligible colleges include two-year and four-year universities in the United States.
Students who apply must have a minimum GPA of 3.6. Current (unofficial) transcripts must be sent with the application."
October 1,Anidjar & Levine Scholarship,"$2,500","Undergraduate, Graduate",https://www.anidjarlevine.com/about/scholarship/community-service-scholarship/,,"Students currently enrolled in or formally accepted to an accredited U.S. community college, college, or university undergraduate or graduate degree program
Cumulative GPA of 3.0 or above"
October 1,1F Cash Advance Financial Champions Scholarship,"$1,500","High school, Undergraduate, Graduate",https://1firstcashadvance.org/scholarship-2024/,,"You must be a United States citizen or resident
You must be enrolled full-time in high school or part-time or full-time in college, trade school, or graduate school
You need to be 18 years old or older
You must have a cumulative grade point average of at least 3.0"
October 1,Glotzer & Leib’s Scholarship Fund,"$1,000","High school, Undergraduate, Graduate",https://www.socalpersonalinjurylawyer.com/scholarship-application/,,This scholarship is open to any student currently enrolled in an accredited college or university in the United States. This includes students that have been accepted and have committed to attend a specific college or university next semester
October 1,Sports Gear Swag scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.sportsgearswag.com/scholarship,,"Must be 18 years or older
Must be a legal resident of United States or hold a valid student visa
Must be currently enrolled in or accepted to a full-time undergraduate or graduate program in an accredited U.S. university, college, or school"
October 1,Nicolet Law Scholarship,"$5,000","High school, Undergraduate, Graduate",https://nicoletlaw.com/community-involvement/college-scholarship-video-essay-contest/,,"Future or current full-time undergraduate or graduate students, including international students, at an accredited U.S. college or university.
Applicants must be in good academic standing.
All areas of study are welcome. There are no restrictions."
October 7,"Moore Family Law, P.C. Leadership Excellence Scholarship","$1,000",Undergraduate,https://www.pwm-law.com/scholarship,,"The student is currently or will be in the future a member of their university’s Greek life.
The student achieved a 3.0 GPA or higher in their most recently completed academic semester.
The student is currently attending college as an undergraduate student at an accredited college or university within the United States for the upcoming semester. At this time, we are not accepting applications from high school or graduate students.
The student will be at least 18 years of age upon distribution of the award."
October 9,Lounge Lizard Web Design Scholarship,"$1,000","Undergraduate, Graduate",https://www.loungelizard.com/scholarship/,,"Open to students attending school in the United States to submit a web design, past or present, that showcases your creativity and understanding of today’s web design trends and possibilities
Applicant must be a student at an accredited school or be accepted to begin school at an accredited school within 6 months of application."
October 9,YoungArts Competition ,"$250-$10,000","K-8, High school",https://youngarts.org/apply/,June 12,"A citizen of the United States, a permanent resident/green card recipient, or can demonstrate that I am legally able to receive taxable income in the United States
Grades 10–12 or 15–18 years of age on December 1 of the application year
Accepting applications in 10 disciplines: Classical Music, Dance, Design, Film, Jazz, Photography, Theater, Visual Arts, Voice, Writing"
October 15,Ruth Abernathy Presidential Scholarship,"$1,250 - $1,750","Undergraduate, Graduate",https://www.shapeamerica.org/scholarships/abernathyscholarship.aspx,,"Undergraduate and graduate student members majoring in the field of health, physical education, recreation or dance"
October 15,Bill Kane Undergraduate Scholarship,"$1,000",Undergraduate,https://www.shapeamerica.org/scholarships/billkanescholarship.aspx,August 1,"Open to any student officially recognized as an undergraduate school-based health education major at an accredited college/university in the United States or a U.S. territory.
To be eligible, the applicant must be currently enrolled full-time (12 hours) at a college or university for both the fall and spring semesters of the academic year during which the student is applying
The student must have sophomore, junior or senior status at the time of application.
Applicants must have a minimum, current overall grade point average of 3.25 on a 4.0 scale"
October 15,Pretty Photoshop Actions Annual Scholarship,$500,"High school, Undergraduate, Graduate",https://www.lightroompresets.com/pages/pretty-photoshop-actions-scholarship-program,,"You should presently be a senior in high school;
Or be transitioning from high school to a college or university;
Or be already enrolled in a college or university inside the United States or Canada."
October 15,CJ Pony Parts Scholarship Video Contest,$500,"High school, Undergraduate, Graduate",https://www.cjponyparts.com/cj-pony-parts-scholarship-video-contest,,"Any U.S. resident who will be enrolling in post-secondary education in the next semester is eligible for this scholarship. 
This is open to all fields of study and is not exclusive to automotive or related degrees."
October 15,NSHSS Your First Scholarship,$500,High school,https://www.nshss.org/scholarships/s/nshss-your-first-scholarship-2025/,May 7,Students graduating high school
October 20,NSHSS Foundation STEM Scholarship,"$1,000",High school,https://www.nshss.org/scholarships/s/nshss-foundation-stem-scholarship-2025/,May 8,High school students of all grade levels with a minimum GPA of 3.0
October 20,Innovation in Education Scholarship,$500,"High school, Undergraduate, Graduate",https://www.latutors123.com/scholarships/innovation-in-education/,,"Must currently be enrolled as a high school, college/university, or graduate student.
Must have a cumulative GPA of at least 3.0 (or the equivalent)."
October 31,American Bullion Scholarship,"$1,000",Undergraduate,https://www.americanbullion.com/about/scholarship/,January 31,"Applicant must be a currently enrolled, full-time undergraduate student at an accredited college or university within the United States. Winners will be asked to provide a valid student ID, transcript, or other proof of enrollment before receiving their winnings. This scholarship is not open to graduate students or high school students entering college.
Applicant must be a legal resident of the United States or hold a valid U.S. student visa."
October 31,Delete Cyberbullying Beyond School Walls Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.endcyberbullying.net/scholarship-beyond-school-walls,,"To apply, you must be a high school student (9th-12th grader), college student or graduate student attending or planning to enter an accredited U.S. college or university."
October 31,Good Lawyers / Good People Scholarship,"$1,000","Undergraduate, Graduate",https://www.simeonemiller.com/scholarship/,,Currently enrolled or accepted as an undergraduate or law student
October 31,J&Y “Books for Good” Scholarship,$300,"High school, Undergraduate, Graduate",https://jnylaw.com/scholarship/,,"Students at accredited colleges, trade schools, universities, and graduate schools in the United States "
October 31,Voice of Democracy National Scholarship ,"Up to $35,000",High school,https://www.vfw.org/PatriotsPen/,,"The Voice of Democracy is open to students in grades 9-12. 
Although U.S. citizenship is not required, students must be lawful U.S. permanent residents or have applied for permanent residence."
November 5,Stephen J. Brady Stop Hunger Scholarship,"$10,000","K-8, High school, Undergraduate",https://www.us.stop-hunger.org/grants/youth-scholarships,September 5,"Ages 5 to 25, who are tackling hunger in their communities"
November 9,Kanoski Bresney Stand Up to Distracted Driving Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.kanoski.com/community-involvement/distracted-driving-scholarship,,"You are currently enrolled in an undergraduate or graduate program at an accredited U.S. college or university, and your education will continue through the Fall 2026 semester.
You are a high school senior who will be starting your college or university education in Spring 2026 or Fall 2026.
You are a U.S. citizen.
You have a current overall GPA of at least 3.0."
November 11,Boyk Law Veteran Scholarship,"$2,000","High school, Undergraduate, Graduate",https://www.charlesboyk-law.com/boyk-law-veteran-scholarship/,,"The applicant has served in the United States Army, Navy, Marines, Air Force, Coast Guard, Space Force or Reserves OR is the spouse (not divorced spouses), widow, child or stepchild of a veteran.
The applicant is a U.S. citizen currently attending an accredited college or university within the United States."
November 11,Lucas Law Legal Leaders Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.lucaslaw.com/scholarship,,"The student is pursuing a career in the legal field.
The student maintains a 3.5 grade point average or higher (if you do not currently have a GPA, you may provide your GPA from your most recently completed academic semester).
The student is enrolled (or planning to enroll) in an accredited undergraduate or graduate program within the United States through the Fall 2026 semester.
The student is at least 17 years old."
November 15,The James Alan Cox Foundation for Student Photojournalists,"$2,500","High school, Undergraduate, Graduate",https://www.jamesalancoxfoundation.org/apply/,July 15,High school applicants should only submit still photographs. The video awards are for college and graduate students only.
November 15,Live Your Dream Award,"Up to $16,000","High school, Undergraduate",https://www.soroptimist.org/our-work/live-your-dream-awards/apply-for-the-live-your-dream-awards.html,August 1,"You are eligible to apply if you are a woman who:
Provides the primary financial support for yourself and your dependents. Dependents can include children, spouse, partner, siblings and/or parents.
Has financial need.
Is enrolled in or has been accepted to a vocational/skills training, high school equivalency, or an undergraduate degree program.
Resides in one of Soroptimist International of the Americas’ member countries/territories (Argentina, Bolivia, Brazil, Canada, Colombia, Ecuador, Guam, Japan, Korea, Mexico, Northern Mariana Islands, Panama, Paraguay, Peru, Philippines, Taiwan, United States of America, Venezuela)."
November 20,Jack Kent Cooke Foundation: College Scholarship Program,"Up to $55,000",High school,https://www.jkcf.org/our-scholarships/,August 20,High school senior with financial need
November 20,Innovation in Education Scholarship,$500,"High school, Undergraduate, Graduate",https://www.latutors123.com/scholarships/innovation-in-education/,,"Must currently be enrolled as a high school, college/university, or graduate student.
Must have a cumulative GPA of at least 3.0 (or the equivalent)."
November 20,Point Foundation Scholarship,"$2,000-$4,800","High school, Undergraduate, Graduate",https://pointfoundation.org/point-apply/apply-now/,September 10,"A minimum cumulative GPA of 3.3.
Full-time enrollment in a a degree-seeking undergraduate, graduate, or professional program at an accredited, not-for-profit college or university in the United States.
Connection and commitment to the LGBTQ+ and ally community.
Must be at least a senior in high school."
November 30,ServiceScape Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.servicescape.com/scholarship,December 1,"Open to students who are attending or who will attend an accredited college, university, or trade school"
November 30,"Bachus & Schanker, LLC Scholarship","$2,000","High school, Undergraduate, Graduate",https://www.coloradolaw.net/scholarship/,,"Any high school senior accepted to attend a four-year university by the time of the award, or full time student attending a four-year university in the United States who carries a 3.0 cumulative GPA may apply."
November 30,Driver Education Initiative Award – Annual Scholarship Opportunity,$500,"High school, Undergraduate, Graduate",https://www.dmvedu.org/scholarship/,September 1,"Applicants must be currently enrolled in either High School, University or College
Open to all students in U.S., Canada, and abroad."
November 30,The Space to Succeed Scholarship,"$5,000","Undergraduate, Graduate",https://thestoragecenter.com/self-storage/scholarship/,October 1,"Applicants must be 18 years or older, a legal U.S. resident, and enrolled in an accredited U.S. college or university at the time of application."
November 30,Aaliyah Lee Scholarship,"$1,000","High school, Undergraduate, Graduate",https://www.parent-volunteer.org/aaliyah-lee-scholarship,,"Be currently enrolled or plan to be enrolled part-time or full-time in an accredited U.S. college or university. Vocational/technical, two-year, four-year, or graduate institutions are eligible.
Be a high school junior or senior, undergraduate student, or graduate student
Have a grade point average of 2.5 or above on a 4.0 system"
November 30,General Education and Mental Health Scholarship,"$1,500","High school, Undergraduate, Graduate",https://seasonsmalibu.com/about-seasons-in-malibu/general-education-and-mental-health-education-scholarship/,July 1,"Applicants must be currently enrolled in either High School, University or College as a full-time student. "
November 30,J&Y “Books for Good” Scholarship,$300,"High school, Undergraduate, Graduate",https://jnylaw.com/scholarship/,,"Students at accredited colleges, trade schools, universities, and graduate schools in the United States "
December 1,Drug Rehab USA Mental Health Scholarship,"$2,000","Undergraduate, Graduate",https://drugrehabus.org/mental-health-scholarship/#two,,"Open to students enrolled in any mental health degree program, including but not limited to psychology, counseling, social work, psychiatric nursing, and other related fields
Applicants must be committed to making a difference in the field of mental health and demonstrate a passion for improving the lives of others."
December 1,Ron Brown Scholar Program,"$45,000",High school,https://ronbrown.org/apply/ron-brown-scholarship/,September 30,"Must be Black/African American, US citizens or permanent residents, and a current high school senior"
December 3,Greenhouse Scholar Program,"$5,000",High school,https://greenhousescholars.org/our-scholars/become-a-scholar/,September 8,"Be a graduating high school senior planning to attend a four-year accredited academic institution
Be a U.S. citizen or permanent resident and a legal resident of Colorado, Georgia, Illinois, New York, North Carolina, Utah, or select counties in California (Los Angeles County, Riverside County, or Orange County)
Have a cumulative, unweighted GPA of 3.5 or above
Demonstrate financial need (annual household income no greater than $80,000)"
December 4,SMART Scholarship-for-Service Program,"$30,000-$46,000","High school, Undergraduate, Graduate",https://www.smartscholarship.org/smart/en,August 1,"Provides merit-based scholarships to bachelor's, master's, and doctoral students pursuing STEM degrees."
December 12,Defense Against Distracted Driving Scholarship,"$1,000","High school, Undergraduate",https://jnylaw.com/distracted-driving-scholarship/,,"Scholarship only available to high school seniors and college undergraduates.
The recipient must be enrolled in an accredited college or University in California.
The student must have a minimum of a 3.0 GPA (or B average in high school).
The recipient must be at least 18 years of age."
